pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,3.0,const,10.0,1.0
p1,,,op2,op1,3.0,const,10.0,1.0
p1,,,op3,op2,3.0,const,10.0,1.0
p1,,,op4,op3,3.0,const,10.0,1.0
p2,0.0,BATCH_PIPELINE,op1,,3.0,const,10.0,1.0
p2,,,op2,op1,3.0,const,10.0,1.0
p2,,,op3,op2,3.0,const,10.0,1.0
p2,,,op4,op3,3.0,const,10.0,1.0
p3,0.0,BATCH_PIPELINE,op1,,3.0,const,10.0,1.0
p3,,,op2,op1,3.0,const,10.0,1.0
p3,,,op3,op2,3.0,const,10.0,1.0
p3,,,op4,op3,3.0,const,10.0,1.0
p4,0.0,BATCH_PIPELINE,op1,,3.0,const,10.0,1.0
p4,,,op2,op1,3.0,const,10.0,1.0
p4,,,op3,op2,3.0,const,10.0,1.0
p4,,,op4,op3,3.0,const,10.0,1.0
p5,0.0,BATCH_PIPELINE,op1,,3.0,const,10.0,1.0
p5,,,op2,op1,3.0,const,10.0,1.0
p5,,,op3,op2,3.0,const,10.0,1.0
p5,,,op4,op3,3.0,const,10.0,1.0
p6,0.0,BATCH_PIPELINE,op1,,3.0,const,10.0,1.0
p6,,,op2,op1,3.0,const,10.0,1.0
p6,,,op3,op2,3.0,const,10.0,1.0
p6,,,op4,op3,3.0,const,10.0,1.0
p7,0.0,BATCH_PIPELINE,op1,,3.0,const,10.0,1.0
p7,,,op2,op1,3.0,const,10.0,1.0
p7,,,op3,op2,3.0,const,10.0,1.0
p7,,,op4,op3,3.0,const,10.0,1.0
p8,0.0,BATCH_PIPELINE,op1,,3.0,const,10.0,1.0
p8,,,op2,op1,3.0,const,10.0,1.0
p8,,,op3,op2,3.0,const,10.0,1.0
p8,,,op4,op3,3.0,const,10.0,1.0
