pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p1,,,op2,op1,20,linear7,,30
p1,,,op3,op1,1,const,,55
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,,5,linear3,,45
p2,,,op3,,2,sqrt,,55
p2,,,op4,,20,linear7,,30
p2,,,op5,op1;op2;op3;op4,20,linear7,,30
p3,0.0,BATCH_PIPELINE,op1,,1,const,,55
p3,,,op2,op1,2,sqrt,,55
p3,,,op3,op2,15,linear3,,37.5
p3,,,op4,op3,2,sqrt,,55
p3,,,op5,op4,20,linear7,,30
p3,,,op6,op5,5,linear3,,45
p4,0.0,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,5,linear3,,45
p4,,,op3,op1,5,linear3,,45
p4,,,op4,op1,5,linear3,,45
p5,11.331,QUERY,op1,,15,linear3,,35
p6,11.331,INTERACTIVE,op1,,1,const,,55
p6,,,op2,,5,linear3,,45
p6,,,op3,,2,sqrt,,55
p6,,,op4,,2,sqrt,,55
p6,,,op5,op1;op2;op3;op4,20,linear7,,30
p7,11.331,INTERACTIVE,op1,,1,const,,55
p7,,,op2,op1,2,sqrt,,55
p7,,,op3,op2,20,linear7,,30
p7,,,op4,op3,20,linear7,,30
p8,11.331,BATCH_PIPELINE,op1,,1,const,,55
p8,,,op2,op1,2,sqrt,,55
p8,,,op3,op2,15,linear3,,37.5
p9,21.623,INTERACTIVE,op1,,1,const,,55
p9,,,op2,op1,20,linear7,,30
p9,,,op3,op2,15,linear3,,37.5
p9,,,op4,op3,15,linear3,,37.5
p9,,,op5,op4,20,linear7,,30
p9,,,op6,op5,1,const,,55
p10,21.623,BATCH_PIPELINE,op1,,1,const,,55
p10,,,op2,op1,5,linear3,,45
p10,,,op3,op2,40,linear7,,20
p10,,,op4,op3,2,sqrt,,55
p11,21.623,BATCH_PIPELINE,op1,,1,const,,55
p11,,,op2,op1,15,linear3,,37.5
p12,21.623,BATCH_PIPELINE,op1,,1,const,,55
p12,,,op2,op1,5,linear3,,45
p12,,,op3,op2,5,linear3,,45
p12,,,op4,op3,20,linear7,,30
p12,,,op5,op4,5,linear3,,45
p13,28.434,INTERACTIVE,op1,,1,const,,55
p13,,,op2,op1,15,linear3,,37.5
p13,,,op3,op2,20,linear7,,30
p14,28.434,BATCH_PIPELINE,op1,,1,const,,55
p14,,,op2,op1,5,linear3,,45
p14,,,op3,op2,15,linear3,,37.5
p14,,,op4,op3,2,sqrt,,55
p14,,,op5,op4,5,linear3,,45
p15,28.434,QUERY,op1,,15,linear3,,35
p16,28.434,BATCH_PIPELINE,op1,,1,const,,55
p16,,,op2,op1,15,linear3,,37.5
p16,,,op3,op2,15,linear3,,37.5
p16,,,op4,op3,15,linear3,,37.5
p16,,,op5,op4,20,linear7,,30
p17,38.188,INTERACTIVE,op1,,1,const,,55
p17,,,op2,op1,1,const,,55
p17,,,op3,op2,1,const,,55
p17,,,op4,op3,2,sqrt,,55
p18,38.188,BATCH_PIPELINE,op1,,1,const,,55
p18,,,op2,op1,40,linear7,,20
p18,,,op3,op2,5,linear3,,45
p19,38.188,BATCH_PIPELINE,op1,,1,const,,55
p19,,,op2,op1,2,sqrt,,55
p19,,,op3,op2,5,linear3,,45
p20,38.188,BATCH_PIPELINE,op1,,1,const,,55
p20,,,op2,op1,15,linear3,,37.5
p21,46.703,BATCH_PIPELINE,op1,,1,const,,55
p21,,,op2,,15,linear3,,37.5
p21,,,op3,,15,linear3,,37.5
p21,,,op4,,80,squared,,10
p21,,,op5,op1;op2;op3;op4,5,linear3,,45
p22,46.703,QUERY,op1,,15,linear3,,35
p23,46.703,BATCH_PIPELINE,op1,,1,const,,55
p23,,,op2,op1,20,linear7,,30
p23,,,op3,op2,15,linear3,,37.5
p23,,,op4,op3,40,linear7,,20
p23,,,op5,op4,1,const,,55
p24,46.703,INTERACTIVE,op1,,1,const,,55
p24,,,op2,op1,1,const,,55
p24,,,op3,op2,20,linear7,,30
p25,56.148,BATCH_PIPELINE,op1,,1,const,,55
