pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p1,,,op2,op1,40,linear7,,20
p1,,,op3,op2,1,const,,55
p1,,,op4,op3,1,const,,55
p1,,,op5,op4,15,linear3,,37.5
p1,,,op6,op5,5,linear3,,45
p1,,,op7,op6,15,linear3,,37.5
p1,,,op8,op7,2,sqrt,,55
p1,,,op9,op8,20,linear7,,30
p1,,,op10,op9,20,linear7,,30
p1,,,op11,op10,15,linear3,,37.5
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,op1,15,linear3,,37.5
p2,,,op3,op2,2,sqrt,,55
p2,,,op4,op3,20,linear7,,30
p2,,,op5,op4,15,linear3,,37.5
p2,,,op6,op5,5,linear3,,45
p2,,,op7,op6,2,sqrt,,55
p2,,,op8,op7,40,linear7,,20
p2,,,op9,op8,5,linear3,,45
p2,,,op10,op9,5,linear3,,45
p2,,,op11,op10,5,linear3,,45
p2,,,op12,op11,20,linear7,,30
p2,,,op13,op12,15,linear3,,37.5
p2,,,op14,op13,20,linear7,,30
p2,,,op15,op14,20,linear7,,30
p2,,,op16,op15,80,squared,,10
p3,0.0,BATCH_PIPELINE,op1,,1,const,,55
p3,,,op2,op1,20,linear7,,30
p3,,,op3,op2,40,linear7,,20
p3,,,op4,op3,5,linear3,,45
p3,,,op5,op4,2,sqrt,,55
p3,,,op6,op5,2,sqrt,,55
p3,,,op7,op6,20,linear7,,30
p3,,,op8,op7,20,linear7,,30
p3,,,op9,op8,20,linear7,,30
p3,,,op10,op9,2,sqrt,,55
p3,,,op11,op10,15,linear3,,37.5
p3,,,op12,op11,15,linear3,,37.5
p3,,,op13,op12,15,linear3,,37.5
p4,0.0,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,15,linear3,,37.5
p4,,,op3,op2,15,linear3,,37.5
p4,,,op4,op3,20,linear7,,30
p4,,,op5,op4,1,const,,55
